"barrier_poly_id","country","area_km2","n_species_supported","Beaver","Bison","Brown Bear","Elk","Lynx","Pine Marten","Wild Boar","Wildcat"
1156139,"England",122.409320406621,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1159599,"England",83.9071124756427,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1165228,"England",78.2355993403393,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1165232,"England",50.3917661285176,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1166627,"England",255.005404116707,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1166749,"England",45.5130945975828,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1167732,"England",29.1895191979148,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1170189,"England",28.0284250215125,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1174563,"England",28.847011127824,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1174648,"England",43.697887197348,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1174652,"England",52.8472057732094,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1196496,"England",73.8631061617018,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1197612,"England",86.318606317064,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1204728,"England",31.5534806156076,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1224790,"England",12.578489772904,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1228874,"England",13.0257362832269,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1230583,"England",15.5991437713093,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1230746,"Wales",24.4937210915502,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1237021,"England",40.5953434901084,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1240624,"Wales",193.750963731781,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1243697,"England",104.739053884175,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1244576,"Wales",32.6108880485066,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
